Eaf,Ealf,Eauxf,Eauxf_cs,Eauxf_fw,Eauxf_hs,Eauxf_ve,Eauxf_ww,Ecaf,Edataf,Ef,Ehs_lat_aux,Elf,Eprof,Eref,I_rad,I_sol,QCf,QEf,QHf,Qcdataf,Qcref,Qcs,Qcs_em_ls,Qcs_lat_sys,Qcs_sen,Qcs_sen_incl_em_ls,Qcs_sen_sys,Qcsf,Qcsf_lat,Qhprof,Qhs,Qhs_em_ls,Qhs_lat_sys,Qhs_sen,Qhs_sen_incl_em_ls,Qhs_sen_sys,Qhsf,Qhsf_lat,Qs,Qww,Qwwf,T_ext,T_sky,Ta_re_cs,Ta_re_hs,Ta_sup_cs,Ta_sup_hs,Tcdataf_re,Tcdataf_sup,Tcref_re,Tcref_sup,Tcsf_re,Tcsf_sup,Thsf_re,Thsf_sup,Twwf_re,Twwf_sup,m_ve_inf,m_ve_mech,m_ve_recirculation,m_ve_required,m_ve_window,ma_sup_cs,ma_sup_hs,mcpcsf,mcpdataf,mcphsf,mcpref,mcpwwf,people,rh_ext,system_status,ta_cs_set,ta_hs_set,theta_a,theta_c,theta_m,theta_o,theta_ve_mech,u_wind,ve,w_int
1176.976,3574.874,3.081,0,0,2.702,0,0.378,0,0,3577.954,0,2397.898,0,0,978.459,-216.938,0,16607.626,13029.672,0,0,0,0,0,0,0,0,0,0,0,9228.162,1831.548,0,9228.162,11059.710,9228.162,11329.439,0,456.714,1168.948,1700.233,9.800,43.969,0,0,0,0,0,0,0,0,0,0,47.176,55.769,10,60,0.195,0,0,0.080,0.000,0,0,0,0,1318.446,0,34.005,6,57,Radiative heating,,20.502,20.502,18.315,17.481,18.993,9.800,2.200,234.882,0
1729.076,5105.511,3.072,0,0,2.702,0,0.370,0,0,5108.583,0,3376.435,0,0,1023.488,-590.110,0,16533.426,11424.843,0,0,0,0,0,0,0,0,0,0,0,7876.162,1689.768,0,7876.162,9565.930,7876.162,9796.790,0,456.714,1119.418,1628.053,10.800,45.018,0,0,0,0,0,0,0,0,0,0,44.470,51.900,10,60,0.195,0,0,0.080,0.000,0,0,0,0,1318.446,0,32.561,6,54,Radiative heating,,20.502,20.502,18.445,17.646,19.082,10.800,1.700,234.882,0
1624.930,4764.805,3.091,0,0,2.702,0,0.389,0,0,4767.896,0,3139.875,0,0,1058.769,-979.251,0,15992.699,11224.803,0,0,0,0,0,0,0,0,0,0,0,7507.280,1707.387,0,7507.280,9214.667,7507.280,9435.406,0,408.354,1236.625,1789.397,11.500,45.870,0,0,0,0,0,0,0,0,0,0,43.815,50.972,10,60,0.194,0,0,0.071,0.000,0,0,0,0,1318.446,0,35.788,5,52,Radiative heating,,20.502,20.502,18.551,17.793,19.156,11.500,2.200,210.011,0
968.684,2893.462,3.090,0,0,2.702,0,0.388,0,0,2896.551,0,1924.778,0,0,1071.314,-1070.964,0,14754.201,11857.650,0,0,0,0,0,0,0,0,0,0,0,7983.167,1863.600,0,7983.167,9846.767,7983.167,10081.895,0,387.535,1227.552,1775.754,11.800,46.231,0,0,0,0,0,0,0,0,0,0,44.982,52.628,10,60,0.194,0,0,0.068,0.000,0,0,0,0,1318.446,0,35.515,5,50,Radiative heating,,20.502,20.502,18.622,17.902,19.204,11.800,2.700,199.304,0
1176.976,3574.874,3.044,0,0,2.702,0,0.342,0,0,3577.918,0,2397.898,0,0,1066.842,-1066.842,0,14291.419,10713.501,0,0,0,0,0,0,0,0,0,0,0,7389.608,1709.976,0,7389.608,9099.583,7389.608,9317.102,0,456.714,954.316,1396.399,11.700,46.211,0,0,0,0,0,0,0,0,0,0,43.599,50.666,10,60,0.194,0,0,0.080,0.000,0,0,0,0,1318.446,0,27.928,6,51,Radiative heating,,20.502,20.502,18.696,18.007,19.256,11.700,1.600,234.882,0
1176.976,3574.874,3.032,0,0,2.702,0,0.330,0,0,3577.906,0,2397.898,0,0,1034.331,-1034.331,0,13968.397,10390.491,0,0,0,0,0,0,0,0,0,0,0,7250.125,1621.077,0,7250.125,8871.202,7250.125,9084.166,0,456.714,888.276,1306.326,11.300,45.622,0,0,0,0,0,0,0,0,0,0,43.172,50.062,10,60,0.194,0,0,0.080,0.000,0,0,0,0,1318.446,0,26.127,6,54,Radiative heating,,20.502,20.502,18.750,18.092,19.293,11.300,3.400,234.882,0
1624.930,4764.805,3.004,0,0,2.702,0,0.301,0,0,4767.808,0,3139.875,0,0,1004.883,-1004.883,0,14210.425,9442.617,0,0,0,0,0,0,0,0,0,0,0,6729.203,1409.464,0,6729.203,8138.667,6729.203,8335.704,0,408.354,741.321,1106.913,10.500,45.069,0,0,0,0,0,0,0,0,0,0,41.779,48.101,10,60,0.195,0,0,0.072,0.000,0,0,0,0,1318.446,0,22.138,5,58,Radiative heating,,20.502,20.502,18.795,18.163,19.324,10.500,1.400,210.011,0
1572.857,4594.452,3.055,0,0,2.702,0,0.353,0,0,4597.506,0,3021.595,0,0,975.804,-975.804,0,14418.369,9820.862,0,0,0,0,0,0,0,0,0,0,0,6773.567,1364.819,0,6773.567,8138.386,6773.567,8336.453,0,429.173,1014.556,1484.409,10.000,44.508,0,0,0,0,0,0,0,0,0,0,41.780,48.103,10,60,0.195,0,0,0.075,0.000,0,0,0,0,1318.446,0,29.688,6,60,Radiative heating,,20.502,20.502,18.823,18.213,19.343,10.000,2.000,220.718,0
1572.857,4594.452,3.099,0,0,2.702,0,0.397,0,0,4597.551,0,3021.595,0,0,945.176,-945.176,0,14836.393,10238.842,0,0,0,0,0,0,0,0,0,0,0,6842.959,1328.302,0,6842.959,8171.261,6842.959,8371.170,0,359.994,1287.792,1867.671,9.500,43.891,0,0,0,0,0,0,0,0,0,0,41.846,48.195,10,60,0.196,0,0,0.063,0.000,0,0,0,0,1318.446,0,37.353,5,60,Radiative heating,,20.502,20.502,18.839,18.245,19.354,9.500,1.000,185.140,0
1572.857,4594.452,3.102,0,0,2.702,0,0.400,0,0,4597.554,0,3021.595,0,0,917.428,-917.428,0,14907.315,10309.762,0,0,0,0,0,0,0,0,0,0,0,6919.479,1295.701,0,6919.479,8215.179,6919.479,8417.209,0,359.994,1304.302,1892.553,9.000,43.316,0,0,0,0,0,0,0,0,0,0,41.932,48.317,10,60,0.196,0,0,0.063,0.000,0,0,0,0,1318.446,0,37.851,5,62,Radiative heating,,20.502,20.502,18.844,18.261,19.358,9.000,1.000,185.140,0
